page_file,url,page_job,primary_keyword,primary_sv,primary_kd,primary_opportunity_sv_over_kd,primary_intent,secondary_keywords,secondary_sv_kd,status,notes
index.html,/,Homepage - brand + top category,diy cupboards,2400,14,171.4,navigational/informational,cupboard centre | custom cupboards | cupboard manufacturers,"cupboard centre (sv 50, kd 24); custom cupboards (sv 110, kd 3); cupboard manufacturers (sv 50, kd 3)",TARGET,Keep-as-is: the old homepage already ranked on DIY cupboards (old H1/hero + title). Brand term stays on the homepage per A3.
kitchen-units.html,/kitchen-units,Kitchen service (money page),kitchen cupboards,22200,6,3700.0,informational/transactional,kitchen units | kitchen cupboard prices | kitchen storage,"kitchen units (sv 9900, kd 5); kitchen cupboard prices (sv 590, kd 12); kitchen storage (sv 390, kd 18)",TARGET,"Biggest prize in the set: 22,200 @ KD 6. Old /kitchen-units URL kept (95 internal links)."
bedroom-cupboards.html,/bedroom-cupboards,NEW - split from bedroom+bathroom,bedroom cupboards,2900,3,966.7,commercial/informational,built in wardrobes | built in cupboards | diy wardrobe | bedside cabinets,"built in wardrobes (sv 2400, kd 3); built in cupboards (sv 4400, kd 17); diy wardrobe (sv 320, kd 24); bedside cabinets (sv 480, kd 28)",TARGET,"SPLIT RECOMMENDED. bedroom (2,900 @3) and bathroom (9,900 @8) are too big to share one page."
bathroom-cabinets.html,/bathroom-cabinets,NEW - split from bedroom+bathroom,bathroom cabinets,9900,8,1237.5,transactional,bathroom vanities | bathroom vanity | bathroom cupboards | bathroom vanity design,"bathroom vanities (sv 3600, kd 19); bathroom vanity (sv 3600, kd 16); bathroom cupboards (sv 1300, kd 46); bathroom vanity design (sv 140, kd 28)",TARGET,"SPLIT RECOMMENDED. 9,900 @ KD 8 is the second-biggest opportunity on the site."
melamine-doors-quartz-countertops.html,/melamine-doors-quartz-countertops,Doors & tops (money page),quartz countertops,2900,19,152.6,informational,eazi quartz | kitchen countertops | melamine doors | kitchen cupboard doors | soft close hinges,"eazi quartz (sv 2400, kd 5); kitchen countertops (sv 2400, kd 7); melamine doors (sv 40, kd 22); kitchen cupboard doors (sv 480, kd 6); soft close hinges (sv 480, kd 12)",TARGET,Old URL kept (83 internal links). Eazi Quartz @ KD 5 is a real win - they are a stockist.
custom-cabinetry.html,/custom-cabinetry,Custom & shopfitting (money page),shopfitting,590,5,118.0,unclassified,shop fitting | shop counters | custom cabinetry,"shop fitting (sv 480, kd 18); shop counters (sv 210, kd 7); custom cabinetry (sv 70, kd 4)",TARGET,Old gallery-custom-cabinetry ranked here (118 internal links).
office-reception-desks.html,/office-reception-desks,NEW - office furniture,office desks,8100,8,1012.5,unclassified,reception desks | office cupboards,"reception desks (sv 1600, kd 3); office cupboards (sv 480, kd 6)",TARGET,"NEW PAGE RECOMMENDED. office desks 8,100 @ KD 8 + reception desks 1,600 @ KD 3 - they genuinely build these."
diy-units.html,/diy-units,DIY / flat-pack (money page),flat pack cupboards,390,3,130.0,unclassified,diy cabinets | diy kitchen cabinets | floor units | drawer units,"diy cabinets (sv 170, kd 8); diy kitchen cabinets (sv 1300, kd 20); floor units (sv 10, kd 9); drawer units (sv 170, kd 20)",TARGET,'diy cupboards' deliberately NOT used here - it is the homepage primary (no cannibalisation).
gallery-kitchen.html,/gallery-kitchen,NEW - kitchen design gallery,designs of kitchen cupboard,3600,28,128.6,commercial,kitchen cupboard design | kitchen cupboard designs,"kitchen cupboard design (sv 2400, kd 4); kitchen cupboard designs (sv 2400, kd 42)",TARGET,"RESTORE RECOMMENDED. Old /gallery-designs-of-kitchen-cupboard had 127 internal links - the most-linked page on the old site. Browse intent, distinct from the kitchen service page."
cupboard-installation.html,/cupboard-installation,Installation service,kitchen cupboard installation,170,42,4.0,navigational,cupboard installation | cabinetry installation | wardrobe installers,"cupboard installation (sv 140, kd 43); cabinetry installation (sv 50, kd 28); wardrobe installers (sv 10, kd 29)",TARGET,"Modest volume and awkward KD, but the old URL ranked (57 internal links) - keep as is."
product-flat-pack-wardrobe.html,/product-flat-pack-wardrobe,Product detail,flat pack wardrobe,110,5,22.0,unclassified,pre assembled wardrobe | flat pack wardrobes,"pre assembled wardrobe (sv 10, kd 17); flat pack wardrobes (sv 110, kd 30)",TARGET,Product page; commercial intent.
shop.html,/shop,Online shop,pre assembled cabinets,10,18,0.6,informational/commercial,,,TARGET,"Commerce utility page. Thin keyword value - do not force it; it earns its place on conversion, not search."
service-areas.html,/service-areas,Local coverage,(no chase - coverage page),,,,,kitchen cupboards nelspruit | cupboard centre nelspruit,"kitchen cupboards nelspruit (sv 50, kd 9); cupboard centre nelspruit (sv 10, kd 24)",NO CHASE,"Every town term reads 0 volume. Per A3, keep the coverage page but do NOT chase; local intent is won on the Google Business Profile."
services.html,/services,Services hub,(overview - no primary),,,,,,,NO CHASE,Demoted to an overview so it cannot compete with the six service pages beneath it (A3 cannibalisation rule).
gallery.html,/gallery,Gallery hub,(overview - no primary),,,,,,,NO CHASE,Hub only once the kitchen gallery is restored.
about.html,/about,Trust / brand,(brand support),,,,,cabinetry experts,"cabinetry experts (sv 0, kd 2)",NO CHASE,Supports the brand term; no head term of its own.
contact.html,/contact,Contact,(navigational),,,,,cupboard centre contact,"cupboard centre contact (sv 0, kd 21)",NO CHASE,Navigational only.
get-a-quote.html,/get-a-quote,Conversion,(conversion page),,,,,get a free quote,"get a free quote (sv 10, kd 33)",NO CHASE,Conversion page - no keyword chase.
faq.html,/faq,Support,(informational support),,,,,cupboard materials | cupboard delivery,"cupboard materials (sv 90, kd 12); cupboard delivery (sv 10, kd 5)",NO CHASE,Answers real questions; supports FAQPage schema.
blog/durable-quartz-countertops.html,/blog/durable-quartz-countertops,Blog,quartz vs granite countertops,110,26,4.2,unclassified,durable countertops,"durable countertops (sv 10, kd 13)",TARGET,Informational - blog only.
blog/choosing-the-perfect-kitchen-units.html,/blog/choosing-the-perfect-kitchen-units,Blog,kitchen cupboard design ideas,90,30,3.0,unclassified,how to choose kitchen units,"how to choose kitchen units (sv 0, kd 15)",TARGET,Informational - blog only.
blog/expert-solutions-for-shop-fitting.html,/blog/expert-solutions-for-shop-fitting,Blog,shop fitting ideas,10,7,1.4,unclassified,,,TARGET,Informational - blog only.
blog/granite-countertops-for-your-home.html,/blog/granite-countertops-for-your-home,Blog,granite countertops guide,0,11,0.0,unclassified,,,TARGET,"Zero volume - keep the post, but it is a supporting asset, not a target."
blog.html,/blog,Blog index,(index),,,,,,,NO CHASE,Index only.
cart.html,/cart,Utility,(NOINDEX),,,,,,,NO CHASE,Excluded from sitemap and noindexed - no search value.
